Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2013;FIN;1;93,62;;;;1;-10;0;Finlande;Finland;Finlandia;فنلندا;فنلاند;UE Balkans
2013;NLD;2;93,52;;;;4;-9;2;Pays-Bas;Netherlands;Países Bajos;هولندا;هلند;UE Balkans
2013;NOR;3;93,48;;;;2;-10;-1;Norvège;Norway;Noruega;النرويج;نروژ;UE Balkans
2013;LUX;4;93,32;;;;7;-7;3;Luxembourg;Luxembourg;Luxemburgo;لوكسمبورغ;لوکزامبورگ;UE Balkans
2013;AND;5;93,18;;;;;;;Andorre;Andorra;Andorra;أندورا;آندور;UE Balkans
2013;DNK;6;92,92;;;;11;-5,67;5;Danemark;Denmark;Dinamarca;الدنمارك;دانمارک;UE Balkans
2013;LIE;7;92,65;;;;;;;Liechtenstein;Liechtenstein;Liechtenstein;ليختنشتاين;لیختن‌اشتاین;UE Balkans
2013;NZL;8;91,62;;;;13;-5,33;5;Nouvelle-Zélande;New Zealand;Nueva Zelanda;نيوزيلاندا;زلاند نو;Asie-Pacifique
2013;ISL;9;91,51;;;;6;-7;-3;Islande;Iceland;Islandia;أيسلندا;ایسلند;UE Balkans
2013;SWE;10;90,77;;;;12;-5,5;2;Suède;Sweden;Suecia;السويد;سوئد;UE Balkans
2013;EST;11;90,74;;;;3;-9;-8;Estonie;Estonia;Estonia;إستونيا;استونی;UE Balkans
2013;AUT;12;90,6;;;;5;-8;-7;Autriche;Austria;Austria;النمسا;اتریش;UE Balkans
2013;JAM;13;90,12;;;;17;-3;4;Jamaïque;Jamaica;Jamaica;جامايكا;جامائیکا;Amériques
2013;CHE;14;90,06;;;;8;-6,2;-6;Suisse;Switzerland;Suiza;سويسرا;سويیس;UE Balkans
2013;IRL;15;89,94;;;;15;-4;0;Irlande;Ireland;Irlanda;أيرلندا;ایرلند;UE Balkans
2013;CZE;16;89,83;;;;14;-5;-2;République tchèque;Czech Republic;República Checa;جمهورية التشيك;جمهوری چک;UE Balkans
2013;DEU;17;89,76;;;;18;-3;1;Allemagne;Germany;Alemania;ألمانيا;آلمان;UE Balkans
2013;CRI;18;87,92;;;;19;-2,25;1;Costa Rica;Costa Rica;Costa Rica;كوستاريكا;کاستاریکا;Amériques
2013;NAM;19;87,5;;;;21;-2;2;Namibie;Namibia;Namibia;ناميبيا;نامیبیا;Afrique
2013;CAN;20;87,31;;;;10;-5,67;-10;Canada;Canada;Canadá;كندا;کانادا;Amériques
2013;BEL;21;87,06;;;;20;-2;-1;Belgique;Belgium;Bélgica;بلجيكا;بلژیک;UE Balkans
2013;POL;22;86,89;;;;24;-0,67;2;Pologne;Poland;Polonia;بولندا;لهستان;UE Balkans
2013;SVK;23;86,75;;;;27;0;4;Slovaquie;Slovakia;Eslovaquia;سلوفاكيا;اسلواکی;UE Balkans
2013;CYP;24;86,17;;;;16;-3;-8;Chypre;Cyprus;Chipre;قبرص;قبرس;UE Balkans
2013;CPV;25;85,67;;;;9;-6;-16;Cap-Vert;Cape Verde;Cabo Verde;الرأس الأخضر;کیپورد;Afrique
2013;AUS;26;84,76;;;;30;4;4;Australie;Australia;Australia;أستراليا;استرالیا;Asie-Pacifique
2013;URY;27;84,08;;;;32;4,25;5;Uruguay;Uruguay;Uruguay;أوروغواي;اروگويه;Amériques
2013;PRT;28;83,25;;;;33;5,33;5;Portugal;Portugal;Portugal;البرتغال;پرتغال;UE Balkans
2013;GBR;29;83,11;;;;28;2;-1;Royaume-Uni;United Kingdom;Reino Unido;المملكة المتحدة;بریتانیا;UE Balkans
2013;GHA;30;82,73;;;;41;11;11;Ghana;Ghana;Ghana;غانا;غنا;Afrique
2013;SUR;31;81,81;;;;23;-1;-8;Suriname;Suriname;Surinam;سورينام;سورینام;Amériques
2013;USA;32;81,78;;;;;;;États-Unis;United States;Estados Unidos;الولايات المتحدة;ایالات متحده امریکا;Amériques
2013;LTU;33;81,76;;;;31;4;-2;Lituanie;Lithuania;Lituania;ليتوانيا;لیتوانی;UE Balkans
2013;XCD;34;80,28;;;;26;0;-8;OECS;OECS;OECS;الكاريبي;جزایر کارائیب شرقی;Amériques
2013;SVN;35;79,51;;;;36;9,14;1;Slovénie;Slovenia;Eslovenia;سلوفينيا;اسلوانی;UE Balkans
2013;ESP;36;79,5;;;;39;9,75;3;Espagne;Spain;España;إسبانيا;اسپانیا;UE Balkans
2013;FRA;37;78,4;;;;38;9,5;1;France;France;Francia;فرنسا;فرانسه;UE Balkans
2013;SLV;38;77,14;;;;37;9,3;-1;El Salvador;El Salvador;El Salvador;السلفادور;ال‌سالوادور;Amériques
2013;LVA;39;77,11;;;;50;15;11;Lettonie;Latvia;Letonia;لاتفيا;لتوانی;UE Balkans
2013;BWA;40;77,09;;;;43;12;3;Botswana;Botswana;Botsuana;بوتسوانا;بوستاوانا;Afrique
2013;PNG;41;77,03;;;;35;9;-6;Papouasie-Nouvelle-Guinée;Papua New Guinea;Papúa Nueva Guinea;بابوا غينيا الجديدة;پاپوآ گینه نو;Asie-Pacifique
2013;ROU;42;76,95;;;;49;14;7;Roumanie;Romania;Rumania;رومانيا;رومانی;UE Balkans
2013;NER;43;76,92;;;;29;2,5;-14;Niger;Niger;Niger;النيجر;نیجر;Afrique
